7440 239 2.1838760 41.3885719 2012-06-16 16:31:03 3.0 
7444 239 2.1838760 41.3885719 2012-06-16 16:31:19 3.0 
7448 239 2.1838760 41.3885719 2012-06-16 16:31:35 3.0 
7453 239 2.1838760 41.3885719 2012-06-16 16:31:51 3.0 
7458 239 2.1838760 41.3885719 2012-06-16 16:32:07 3.0 
7463 239 2.1838760 41.3885719 2012-06-16 16:32:23 3.0 
7469 239 2.1838707 41.3885719 2012-06-16 16:32:39 3.0 
7476 239 2.1838707 41.3885719 2012-06-16 16:32:55 3.0 
7483 239 2.1838760 41.3885880 2012-06-16 16:33:11 4.0 
7490 239 2.1838653 41.3885772 2012-06-16 16:33:27 6.0 
7495 239 2.1838707 41.3885772 2012-06-16 16:33:43 3.0 
7502 239 2.1838760 41.3885772 2012-06-16 16:33:59 3.0 
7509 239 2.1838599 41.3885558 2012-06-16 16:34:15 3.0 
7517 239 2.1838599 41.3885558 2012-06-16 16:34:31 3.0 
7522 239 2.1838653 41.3885558 2012-06-16 16:34:47 4.0 
7528 239 2.1838546 41.3885504 2012-06-16 16:35:03 3.0 
7534 239 2.1838492 41.3885504 2012-06-16 16:35:19 2.0 
7539 239 2.1838439 41.3885665 2012-06-16 16:35:35 3.0 
7544 239 2.1838331 41.3885558 2012-06-16 16:35:51 3.0 
7548 239 2.1838599 41.3885558 2012-06-16 16:36:07 3.0 
7567 239 2.1838546 41.3885450 2012-06-16 16:39:21 4.0 
7569 239 2.1838707 41.3885450 2012-06-16 16:39:37 3.0 
7571 239 2.1838868 41.3885558 2012-06-16 16:39:53 3.0 
7573 239 2.1838760 41.3885397 2012-06-16 16:40:09 3.0 
7575 239 2.1838653 41.3885289 2012-06-16 16:40:25 6.0 
7577 239 2.1838814 41.3885021 2012-06-16 16:40:41 6.0 
7581 239 2.1838760 41.3884968 2012-06-16 16:41:15 6.0 
7584 239 2.1838814 41.3884968 2012-06-16 16:41:35 3.0 
7586 239 2.1838814 41.3884968 2012-06-16 16:41:51 6.0 
7588 239 2.1838760 41.3884914 2012-06-16 16:42:07 6.0 
7590 239 2.1838814 41.3884914 2012-06-16 16:42:23 4.0 
7592 239 2.1838814 41.3884914 2012-06-16 16:42:39 6.0 
7594 239 2.1838760 41.3884860 2012-06-16 16:43:02 6.0 
7596 239 2.1838760 41.3884807 2012-06-16 16:43:18 4.0 
7599 239 2.1838760 41.3884807 2012-06-16 16:43:34 4.0 
